playlist_genre,year,track_popularity
edm,1977,0
edm,1978,41
edm,1979,27.5
edm,1980,29
edm,1981,69
edm,1982,43.5
edm,1983,2
edm,1990,35
edm,1991,15
edm,1993,31
edm,1994,33
edm,1995,33
edm,1996,42
edm,1998,52
edm,1999,50.66666667
edm,2000,56.25
edm,2001,45
edm,2002,47.5
edm,2003,30.4
edm,2004,47
edm,2005,28.375
edm,2006,20.375
edm,2007,16.44827586
edm,2008,15.79069767
edm,2009,16.86666667
edm,2010,35.59459459
edm,2011,32.7972973
edm,2012,35.32352941
edm,2013,19.7827476
edm,2014,20.80496454
edm,2015,26.43290043
edm,2016,30.41967871
edm,2017,33.37242798
edm,2018,36.33377483
edm,2019,43.26023266
edm,2020,40.31521739
latin,1965,26
latin,1976,72
latin,1979,60.33333333
latin,1981,42
latin,1982,60
latin,1983,26
latin,1984,36.5
latin,1985,35.66666667
latin,1986,34.4
latin,1987,34.55555556
latin,1988,39.625
latin,1989,45.09090909
latin,1990,48.17647059
latin,1991,35.91666667
latin,1992,57.33333333
latin,1993,49.92307692
latin,1994,11.36363636
latin,1995,42.5
latin,1996,17.38461538
latin,1997,40.04347826
latin,1998,47.38095238
latin,1999,43.76923077
latin,2000,36.64285714
latin,2001,34.92307692
latin,2002,50.10526316
latin,2003,39.38297872
latin,2004,31.73684211
latin,2005,38.33333333
latin,2006,36.86956522
latin,2007,32.12871287
latin,2008,24.21008403
latin,2009,40.16101695
latin,2010,42.97619048
latin,2011,39.48809524
latin,2012,36.39849624
latin,2013,36.09756098
latin,2014,36.18181818
latin,2015,38.09747292
latin,2016,39.77866667
latin,2017,42.87373737
latin,2018,51.5026455
latin,2019,57.43587014
latin,2020,50.19083969
pop,1969,80
pop,1970,77
pop,1973,75
pop,1974,27
pop,1975,51
pop,1976,76
pop,1977,62
pop,1978,53.71428571
pop,1979,66.25
pop,1980,54.33333333
pop,1981,36.71428571
pop,1982,52.875
pop,1983,48.69230769
pop,1984,41.78947368
pop,1985,50.66666667
pop,1986,30
pop,1987,38.14285714
pop,1988,49.44444444
pop,1989,47.4
pop,1990,42.6875
pop,1991,28
pop,1992,41.66666667
pop,1993,58.85714286
pop,1994,48.26666667
pop,1995,42.61538462
pop,1996,46.29411765
pop,1997,41.5
pop,1998,46.92307692
pop,1999,40.11111111
pop,2000,44.44444444
pop,2001,41.78787879
pop,2002,48.47826087
pop,2003,38.92857143
pop,2004,52.95833333
pop,2005,41.45454545
pop,2006,31.58
pop,2007,48.24
pop,2008,35.55357143
pop,2009,30.33684211
pop,2010,42.3699422
pop,2011,48.49305556
pop,2012,52.85227273
pop,2013,46.2907489
pop,2014,41.75949367
pop,2015,42.09185804
pop,2016,41.50094162
pop,2017,48.41980198
pop,2018,52.22443182
pop,2019,54.88055353
pop,2020,47.20588235
r&b,1957,59
r&b,1960,16
r&b,1961,47
r&b,1962,64
r&b,1963,73
r&b,1964,45
r&b,1965,40.66666667
r&b,1966,46.66666667
r&b,1967,53.8
r&b,1968,60
r&b,1969,62.25
r&b,1970,53
r&b,1971,53.75
r&b,1972,52.6
r&b,1973,43.8
r&b,1974,38.3
r&b,1975,46.625
r&b,1976,53.22222222
r&b,1977,37.66666667
r&b,1978,50.6
r&b,1979,40
r&b,1980,53.2
r&b,1981,56.33333333
r&b,1982,56.2
r&b,1983,38.85714286
r&b,1984,48.1
r&b,1985,48.66666667
r&b,1986,31.78571429
r&b,1987,36.80645161
r&b,1988,34.40322581
r&b,1989,32.12765957
r&b,1990,29.81818182
r&b,1991,30.70238095
r&b,1992,30.79381443
r&b,1993,31.9375
r&b,1994,33.25
r&b,1995,32.8125
r&b,1996,39.4494382
r&b,1997,39.43820225
r&b,1998,31.24615385
r&b,1999,39.70666667
r&b,2000,32.76237624
r&b,2001,37.3814433
r&b,2002,36.05
r&b,2003,32.60194175
r&b,2004,34.34408602
r&b,2005,25.47663551
r&b,2006,26.18823529
r&b,2007,24.16091954
r&b,2008,23.45801527
r&b,2009,19.50724638
r&b,2010,30.08235294
r&b,2011,28.912
r&b,2012,35.7007874
r&b,2013,30.63793103
r&b,2014,28.7839196
r&b,2015,34.97165992
r&b,2016,41.61253561
r&b,2017,47.33405172
r&b,2018,50.03318584
r&b,2019,57.87443541
r&b,2020,48.48387097
rap,1967,79
rap,1968,53.5
rap,1969,38
rap,1970,12
rap,1971,3
rap,1972,52
rap,1973,38
rap,1974,64.5
rap,1976,36
rap,1978,72
rap,1981,36
rap,1982,62.5
rap,1983,39
rap,1984,43
rap,1985,45
rap,1986,57
rap,1987,48.375
rap,1988,40.8
rap,1989,43.2
rap,1990,41.35714286
rap,1991,43.92
rap,1992,40.36585366
rap,1993,49.69444444
rap,1994,47.9
rap,1995,46.93333333
rap,1996,46.2
rap,1997,38.26530612
rap,1998,29.07207207
rap,1999,32.88764045
rap,2000,31.03703704
rap,2001,29.44067797
rap,2002,38.27777778
rap,2003,36.85714286
rap,2004,34.33333333
rap,2005,30.75396825
rap,2006,35.75247525
rap,2007,35.76136364
rap,2008,32.37333333
rap,2009,26.32758621
rap,2010,29.05405405
rap,2011,31.5375
rap,2012,31.24786325
rap,2013,24.68817204
rap,2014,30.87428571
rap,2015,40.09787234
rap,2016,40.45762712
rap,2017,37.74946004
rap,2018,43.4751773
rap,2019,53.81798246
rap,2020,50.63522013
rock,1957,1
rock,1958,73
rock,1962,64
rock,1963,36.25
rock,1964,42.75
rock,1965,52
rock,1966,54.8125
rock,1967,47.11428571
rock,1968,58.52631579
rock,1969,47.1
rock,1970,45.09722222
rock,1971,42.98484848
rock,1972,52.20588235
rock,1973,45.11340206
rock,1974,40.17910448
rock,1975,48.61616162
rock,1976,44.84166667
rock,1977,49.94736842
rock,1978,45.31034483
rock,1979,50.35714286
rock,1980,52.31764706
rock,1981,52.72727273
rock,1982,48.32876712
rock,1983,49.19148936
rock,1984,41.75
rock,1985,43.42342342
rock,1986,47.58666667
rock,1987,42.71052632
rock,1988,48.73239437
rock,1989,51.28571429
rock,1990,51.73913043
rock,1991,40.8125
rock,1992,51.61538462
rock,1993,41.88235294
rock,1994,50.75862069
rock,1995,42.41666667
rock,1996,39.74285714
rock,1997,46.0625
rock,1998,42.48611111
rock,1999,55.25373134
rock,2000,39.70588235
rock,2001,42.05319149
rock,2002,45.66101695
rock,2003,43.58333333
rock,2004,44.70707071
rock,2005,31.51136364
rock,2006,47.36633663
rock,2007,37.43478261
rock,2008,27.53521127
rock,2009,28.25
rock,2010,25.34166667
rock,2011,39.77319588
rock,2012,36.53968254
rock,2013,38.85714286
rock,2014,35.33333333
rock,2015,37.18987342
rock,2016,38.15584416
rock,2017,37.11206897
rock,2018,40.96899225
rock,2019,36.17850953
rock,2020,39.45833333
