playlist_genre,year,track_popularity
edm,2010,35.59459459
edm,2011,32.7972973
edm,2012,35.32352941
edm,2013,19.7827476
edm,2014,20.80496454
edm,2015,26.43290043
edm,2016,30.41967871
edm,2017,33.37242798
edm,2018,36.33377483
edm,2019,43.26023266
edm,2020,40.31521739
latin,2010,42.97619048
latin,2011,39.48809524
latin,2012,36.39849624
latin,2013,36.09756098
latin,2014,36.18181818
latin,2015,38.09747292
latin,2016,39.77866667
latin,2017,42.87373737
latin,2018,51.5026455
latin,2019,57.43587014
latin,2020,50.19083969
pop,2010,42.3699422
pop,2011,48.49305556
pop,2012,52.85227273
pop,2013,46.2907489
pop,2014,41.75949367
pop,2015,42.09185804
pop,2016,41.50094162
pop,2017,48.41980198
pop,2018,52.22443182
pop,2019,54.88055353
pop,2020,47.20588235
r&b,2010,30.08235294
r&b,2011,28.912
r&b,2012,35.7007874
r&b,2013,30.63793103
r&b,2014,28.7839196
r&b,2015,34.97165992
r&b,2016,41.61253561
r&b,2017,47.33405172
r&b,2018,50.03318584
r&b,2019,57.87443541
r&b,2020,48.48387097
rap,2010,29.05405405
rap,2011,31.5375
rap,2012,31.24786325
rap,2013,24.68817204
rap,2014,30.87428571
rap,2015,40.09787234
rap,2016,40.45762712
rap,2017,37.74946004
rap,2018,43.4751773
rap,2019,53.81798246
rap,2020,50.63522013
rock,2010,25.34166667
rock,2011,39.77319588
rock,2012,36.53968254
rock,2013,38.85714286
rock,2014,35.33333333
rock,2015,37.18987342
rock,2016,38.15584416
rock,2017,37.11206897
rock,2018,40.96899225
rock,2019,36.17850953
rock,2020,39.45833333
